Index,Company,City,Country,country_label,company_len,email_domain,phone_digits,sub_year,sub_month,sub_days_since
76,Choi and Sons,Guymouth,Kuwait,115,13,garrison.com,23,2020,2,2296
77,Conner-Braun,Karlaview,Azerbaijan,14,12,hobbs.info,26,2021,9,1731
78,Bean-Fuentes,Josephtown,Israel,105,12,lopez.info,28,2020,5,2211
79,"Herman, Preston and Spence",Lake Brittney,Uzbekistan,234,26,dyer-kim.info,29,2021,9,1715
80,Everett and Sons,Younghaven,Kiribati,113,16,patel-todd.com,28,2020,11,2046
81,Galvan-Stafford,Lake Laura,France,72,15,hawkins-bernard.com,28,2020,9,2104
82,Cherry-Yates,North Nathanielton,Brunei Darussalam,32,12,berry.biz,31,2021,9,1720
83,"Michael, Mayo and Bishop",Shannonbury,Djibouti,58,24,olson.com,23,2020,4,2232
84,"Brewer, Trevino and Key",Rickeychester,Italy,106,23,hensley.net,26,2020,12,2006
85,Lindsey LLC,Port Jon,Macao,126,11,harrell-santiago.info,28,2020,10,2066
86,Dunlap-Chambers,Stephenfort,Ghana,80,15,hart.com,28,2021,8,1758
87,Yu-Roy,Petersbury,Equatorial Guinea,64,6,bonilla.com,28,2020,10,2057
88,Lynch Inc,Butlerberg,Heard Island and McDonald Islands,93,9,mckinney-stafford.net,28,2020,5,2205
89,"Morris, Hurst and Mccarty",Bradstad,Heard Island and McDonald Islands,93,25,molina.org,28,2020,6,2178
90,Rush-Baird,Julianmouth,Liechtenstein,123,10,morris-case.info,25,2021,4,1872
91,"Warren, Davenport and Hanna",Jadeland,Korea,114,27,potter.com,28,2022,5,1486
92,Hickman-Wells,Lake Danberg,United Arab Emirates,228,13,turner.biz,31,2020,9,2089
93,"Floyd, Moyer and Hodges",Damonside,Greece,82,23,chambers-frost.com,30,2021,2,1945
94,Huffman LLC,Maryland,Heard Island and McDonald Islands,93,11,gardner-gaines.com,30,2022,4,1518
95,"Barajas, Hale and Ferguson",Knightmouth,Mayotte,138,26,cervantes.org,28,2021,3,1908
96,"Goodwin, Lambert and Lowery",South Veronicafurt,Fiji,70,27,barr.org,25,2020,12,1994
97,Lowe-Mathis,Sheriville,Cuba,54,11,sanders-lowery.net,24,2020,4,2240
98,White-George,Marcoburgh,Brazil,29,12,powell.biz,26,2021,12,1643
99,Downs Group,Holdenchester,Chad,42,11,barker.com,32,2022,5,1487
100,"Lara, Leon and Montoya",East Jeanneside,Grenada,84,22,tucker.com,32,2021,7,1779
101,Wang LLC,Port Harold,Trinidad and Tobago,220,8,bowman-montoya.com,23,2021,10,1692
102,"Martinez, Gray and Cameron",West Karinahaven,American Samoa,3,26,floyd-hall.com,25,2021,7,1782
103,"Donovan, Strong and Ward",Maxwellmouth,British Virgin Islands,31,24,preston.net,28,2021,12,1641
104,"Shannon, Patterson and Martinez",Lake Omarbury,Luxembourg,125,31,harvey.com,29,2020,6,2171
105,"Horn, Stevenson and Yoder",New Cindy,Mauritius,137,25,mccarthy.com,32,2020,4,2251
106,"Soto, Wheeler and Baker",Lake Bobberg,Vietnam,237,23,cooley.com,25,2021,7,1797
107,"Carr, Harvey and Webb",East Eduardo,Slovenia,198,21,beard-lambert.com,20,2021,1,1963
108,Lester Group,South Richardbury,Macedonia,127,12,pace.com,25,2020,3,2291
109,"Fritz, Haynes and Burgess",Victoriaburgh,Poland,173,25,buck-roach.com,29,2020,6,2177
110,Pugh-Green,Erinfurt,Namibia,149,10,petersen-lam.org,27,2020,1,2350
111,"Gaines, Galvan and Goodwin",Hansonburgh,Cyprus,55,26,house-hamilton.org,28,2020,7,2166
112,"Mitchell, Pierce and Barry",Curtisborough,Estonia,66,26,goodwin.org,27,2020,12,1989
113,Franklin LLC,Bryantfurt,Syrian Arab Republic,211,12,mays-rivers.org,27,2021,2,1950
114,"Dillon, Bonilla and Spears",Soniaborough,Venezuela,236,26,house.com,36,2020,8,2133
115,Rosales-Hayden,Sarafurt,Saint Martin,185,14,hudson.biz,23,2021,4,1887
116,"Atkins, Huerta and Wolf",West Cristian,Bermuda,23,23,bradley-booth.com,25,2021,7,1783
117,"Robles, Wiggins and Perry",Blankenshiphaven,Egypt,62,25,osborne.com,28,2020,8,2110
118,Eaton LLC,Stewarthaven,Tuvalu,225,9,juarez-kane.com,23,2020,5,2209
119,English Inc,West Shawna,Lithuania,124,11,underwood.net,24,2020,3,2268
120,Ford Ltd,Newmanfort,Tonga,219,8,salazar.com,23,2022,5,1489
121,Bridges-Cortez,Briannashire,Luxembourg,125,14,browning.info,24,2021,6,1808
122,Ford and Sons,Newmanbury,Thailand,215,13,james-benjamin.net,34,2021,3,1911
123,Joyce-Arias,Lake Rayshire,Taiwan,212,11,burke.com,25,2021,9,1715
124,Beltran LLC,East Rebeccashire,French Guiana,73,11,bradford.com,31,2020,5,2225
125,Wilkerson PLC,Port Darryl,Mozambique,147,13,perez.com,25,2021,9,1732
126,Higgins-Barajas,West David,Croatia,53,15,drake.com,25,2020,10,2075
127,"Medina, Shields and Glover",Jeannechester,Gibraltar,81,26,terrell.com,24,2020,2,2309
128,"Francis, Bowen and Davis",West Sean,Turks and Caicos Islands,224,24,ward.biz,20,2021,12,1633
129,Wilkerson PLC,Leonardmouth,Netherlands Antilles,153,13,lawrence-shaw.com,26,2020,6,2184
130,"Ortiz, Cohen and Cross",Jennifermouth,Singapore,196,22,cross.com,29,2021,10,1686
131,Decker Group,East Brady,Cape Verde,39,12,brandt.com,24,2021,5,1842
132,"Sparks, Floyd and Barnett",Earlberg,Kazakhstan,111,25,sharp.biz,20,2022,1,1607
133,Simon-Walton,Ethanberg,Burundi,35,12,durham.com,26,2020,4,2236
134,Villarreal-Atkins,Gaineston,Germany,79,17,small-black.com,25,2022,1,1607
135,"Lester, Murphy and Garner",East Maureen,Svalbard & Jan Mayen Islands,207,25,larsen.org,34,2021,7,1791
136,Church PLC,Lake Kyleburgh,Fiji,70,10,wilson.biz,28,2021,11,1656
137,Browning-French,Lake Toni,Grenada,84,15,spencer.com,31,2021,9,1718
138,"Contreras, Pollard and Moore",Blevinsmouth,Cape Verde,39,28,zamora.org,26,2021,12,1628
139,Hartman-Fox,Velasquezhaven,Dominica,59,11,hensley.info,20,2022,4,1507
140,Blake PLC,Natalietown,United Kingdom,229,9,warner.net,31,2021,11,1665
141,"Richardson, Nolan and Chung",Deanstad,Zimbabwe,242,27,gill-thornton.info,27,2022,4,1515
142,Olson Ltd,New Shariton,Japan,108,9,park.info,31,2021,5,1849
143,Garcia PLC,Philipmouth,Liberia,121,10,owen-stone.info,26,2021,10,1685
144,"Donaldson, Dickerson and Kaiser",Holdenshire,Timor-Leste,216,31,michael.org,29,2021,9,1725
145,"Cummings, Lloyd and Price",Valdezfort,Benin,22,25,prince.biz,31,2021,4,1870
146,"Vaughn, Castillo and Anderson",Roseburgh,Peru,170,29,novak-delacruz.biz,28,2021,8,1774
147,Hull Group,North Isabellaberg,Uzbekistan,234,10,sampson.com,25,2020,3,2291
148,"Acosta, Mendez and Rivas",Boydburgh,Costa Rica,51,24,kidd.com,25,2020,3,2271
149,Church-Boyle,Jocelynbury,Italy,106,12,morris-moss.info,20,2021,9,1727
150,"Orozco, Suarez and Burnett",West Victoriaburgh,Benin,22,26,carson-dorsey.com,28,2021,9,1736
151,Estrada-Gates,Port Sabrina,Bangladesh,17,13,hester.net,29,2021,1,1964
152,"Bowman, Wu and Thornton",North Christie,Burundi,35,23,snyder.com,28,2021,9,1736
153,"Kemp, Mcpherson and Miranda",West Mariamouth,Indonesia,100,27,zimmerman-salinas.org,25,2020,6,2186
154,Greene-Cowan,Jesseberg,Vietnam,237,12,anderson.com,29,2020,4,2232
155,Pratt PLC,South Dariusville,Croatia,53,9,pennington.com,30,2020,10,2067
156,"Garner, Pittman and Saunders",South Stacieton,Australia,12,28,hudson-acevedo.net,23,2020,10,2048
157,Cantu Inc,Coffeyborough,Lesotho,120,9,norris.biz,26,2020,8,2113
158,"Wright, Contreras and Wagner",North Theresastad,Falkland Islands (Malvinas),68,28,stephenson-tyler.biz,27,2020,3,2262
159,Ayers and Sons,South Roger,Guinea,89,14,spence-beck.info,25,2020,10,2048
160,"Ponce, Wade and Cowan",Lake Cristian,Svalbard & Jan Mayen Islands,207,21,henry.org,20,2021,1,1956
161,West-Casey,Cisnerosmouth,Bulgaria,33,10,perkins.com,33,2021,5,1840
162,"Conley, Mills and Gross",Juliebury,Bolivia,25,23,neal-farrell.org,23,2022,1,1609
163,Mccann-Barker,Makaylaberg,Christmas Island,45,13,frederick.com,24,2020,6,2177
164,Copeland LLC,Port Noahmouth,France,72,12,wade-galloway.net,29,2020,9,2091
165,Mckinney-Dean,Normantown,Mali,132,13,finley-clarke.net,27,2020,10,2060
166,Potter-Doyle,Lake Johnathanborough,Mozambique,147,12,norton.com,28,2021,2,1948
167,"Carey, Randolph and Hebert",North Erik,Honduras,95,26,peterson.net,29,2021,7,1801
168,"Colon, Gill and Anthony",Port Audreyside,Rwanda,180,23,preston.org,25,2021,7,1803
169,Swanson-Lloyd,New Mitchell,Monaco,142,13,hansen.com,20,2020,9,2092
170,Duncan Inc,Evansfort,Wallis and Futuna,238,10,salas.com,24,2020,8,2135
171,"Cooke, Zuniga and Maldonado",North Glendaborough,Saint Helena,182,27,nichols.biz,28,2021,10,1702
172,Dyer and Sons,Lake Debraside,Estonia,66,13,carpenter-nielsen.net,20,2021,1,1962
173,"Cabrera, Wilkins and Fletcher",Levinehaven,Cuba,54,29,oliver.com,25,2021,5,1849
174,Strickland-Pugh,Port Codyview,Guernsey,88,15,lopez-brandt.org,32,2021,3,1912
175,"Lester, Ayala and Harmon",East Maxborough,Antigua and Barbuda,8,24,griffin.org,23,2021,12,1637
176,"Reid, Simmons and Burgess",Sierraton,United Arab Emirates,228,25,carr-arias.com,29,2020,5,2227
177,Hayes Group,Meyerview,Libyan Arab Jamahiriya,122,11,robertson.org,30,2021,4,1880
178,Diaz-Rangel,New Angelica,Jamaica,107,11,cooke.com,24,2020,10,2062
179,Griffith-Brandt,Coreyville,Guatemala,87,15,house.com,28,2020,11,2024
180,Cordova-Acevedo,Michelehaven,El Salvador,63,15,walker.org,20,2021,1,1970
181,"Tate, Ho and Galloway",Lake Edgarburgh,Guernsey,88,21,juarez-richmond.com,24,2021,4,1872
182,Mcconnell-Bell,East Daveview,Tuvalu,225,14,thomas.com,30,2020,11,2035
183,Rush and Sons,Port Shawna,Spain,203,13,harrell.info,28,2021,11,1659
184,Mcbride and Sons,Joyceport,Swaziland,208,16,stevens.com,24,2020,3,2270
185,Winters Ltd,Randolphside,Oman,163,11,klein.biz,34,2020,10,2060
186,Rodriguez-Riddle,East Daleborough,San Marino,189,16,romero-owen.com,20,2020,6,2187
187,Espinoza Group,Port Brady,Puerto Rico,175,14,holden-franklin.com,25,2020,9,2082
188,"Wall, Howell and Flowers",Fuentesborough,Palau,165,24,rowe.com,20,2020,1,2324
189,Combs-Arnold,Woodwardmouth,Costa Rica,51,12,galloway.biz,29,2020,12,1988
190,Roberson-Booth,Danfort,Sierra Leone,195,14,carrillo.info,29,2020,4,2252
191,Charles-Mcknight,West Gregory,Central African Republic,41,16,arellano.com,30,2021,9,1714
192,"Calderon, Williamson and Stuart",Lesterton,Costa Rica,51,31,levy.info,24,2020,4,2252
193,"Rios, Bautista and Reed",Shanehaven,Tuvalu,225,23,andersen.com,24,2021,3,1918
194,Boone-Humphrey,New Priscilla,Botswana,27,14,choi.com,20,2021,4,1880
195,Golden Group,Howellborough,Guatemala,87,12,buck.com,27,2020,11,2042
196,"Trevino, Lam and Brewer",Lake Kylie,Chad,42,23,blackburn.biz,23,2020,3,2271
197,Zhang PLC,Juanland,Montserrat,145,9,peterson-gould.com,28,2022,3,1546
198,"Holt, Ewing and Deleon",Claudiahaven,Haiti,92,22,navarro-mcmahon.com,28,2022,3,1539
199,"Dodson, Weaver and Barajas",Jodiberg,Somalia,200,26,mayer.net,27,2020,12,1987
200,Webster Group,Brianland,Estonia,66,13,barrera.org,34,2021,9,1740
201,Hudson-Keith,Dillonborough,Zimbabwe,242,12,rubio-garrison.org,30,2021,3,1927
202,"Sloan, Meyer and Baldwin",Castanedaview,Myanmar,148,24,harrington.com,20,2022,1,1606
203,"Ibarra, Hobbs and Mccarthy",Port Marisa,Iraq,102,26,kelly-arellano.com,23,2021,1,1977
204,Shields-Whitehead,Wandastad,Ghana,80,17,parks.biz,26,2020,10,2077
205,Landry-Walter,East Jim,Chile,43,13,golden.com,30,2021,8,1753
206,Ford-Dixon,West Brendan,Chad,42,10,maldonado.org,28,2020,5,2215
207,Griffith Inc,New Waynemouth,Malawi,129,12,mcdowell-christensen.com,26,2020,10,2058
208,Anthony Ltd,Lake Timothy,United Arab Emirates,228,11,atkins-porter.com,31,2021,8,1771
209,Castaneda Inc,New Chadport,Luxembourg,125,13,garner.net,28,2022,1,1609
210,"Pugh, Hickman and Ali",North Andreamouth,Trinidad and Tobago,220,21,compton.com,28,2021,9,1735
211,Booth Group,Neilmouth,Central African Republic,41,11,hurley.com,28,2020,8,2123
212,Myers Ltd,Port Anthonyland,New Zealand,155,9,gamble.info,24,2021,2,1955
213,Elliott Ltd,Patrickfurt,Malaysia,130,11,lawrence.com,26,2021,1,1959
214,Chavez and Sons,Davestad,Malaysia,130,15,frazier-nichols.biz,36,2022,3,1560
215,"Hartman, Martinez and Lambert",Katieshire,France,72,29,wong.biz,27,2021,1,1972
216,Roberson Group,Fergusonville,United Kingdom,229,14,sparks.com,27,2020,7,2166
217,Shannon-Valencia,East Jo,American Samoa,3,16,faulkner-hood.info,25,2020,12,2013
218,Acosta and Sons,South Erika,Denmark,57,15,medina-garcia.com,20,2021,5,1856
219,"Peterson, Maldonado and Daugherty",Elliotthaven,Taiwan,212,33,franco.org,23,2020,3,2292
220,Landry-Kaiser,Jacquelineville,Armenia,10,13,rhodes.com,26,2020,5,2229
221,Cruz-Velazquez,Bartonport,Fiji,70,14,gates.com,30,2021,12,1636
222,Hayes-Kelly,Daughertyfort,Liberia,121,11,bennett-nicholson.net,30,2020,10,2053
223,Walker Group,Mcgeemouth,India,99,12,wise.info,32,2020,9,2099
224,Solis-Olson,West Rubenburgh,Micronesia,140,11,mcfarland.com,27,2020,2,2311
225,Holland-Burgess,Whitneyburgh,Maldives,131,15,thomas.info,28,2022,1,1596
226,Rivers-Woods,North Nina,Bolivia,25,12,barrera.com,30,2021,2,1940
227,"Woods, Cunningham and Nguyen",Maxport,Cayman Islands,40,28,dean.com,31,2021,3,1913
228,Dickson Inc,Wyattmouth,Reunion,177,11,farmer.com,28,2020,3,2266
229,"Sanchez, Coleman and Leon",Lisaville,Korea,114,25,shelton.net,30,2021,3,1898
230,"Parrish, Frey and Wiley",North Randallstad,Paraguay,169,23,carr.biz,34,2021,12,1624
231,"Schroeder, Krueger and Day",New Evelynside,Austria,13,26,roach-rocha.info,24,2021,7,1793
232,Collins-Roman,Xavierborough,Mauritius,137,13,terry.com,29,2020,10,2078
233,Simon-Short,Erinmouth,Lithuania,124,11,webb.org,21,2021,3,1926
234,"Bailey, Dorsey and Tanner",Port Robert,Norway,162,25,taylor.com,20,2020,10,2070
235,Day-Donovan,Nicholsonfurt,Croatia,53,11,howe-kim.com,27,2022,5,1492
236,"Stephens, Green and Dudley",Vaughnside,Montenegro,144,26,holden-morrow.com,26,2022,3,1540
237,"Camacho, Wilkinson and Holden",Gregoryhaven,Wallis and Futuna,238,29,dalton-small.com,22,2020,12,2000
238,"English, Mercado and Jefferson",Vernonfurt,Belize,21,30,brady.com,20,2020,11,2040
239,Warren Ltd,Dorothymouth,Haiti,92,10,good-boyer.com,31,2020,4,2250
240,Wolfe LLC,West Alejandrachester,Zimbabwe,242,9,reid.net,24,2020,8,2123
241,"Velazquez, Heath and Adkins",South Gloria,Tuvalu,225,27,bell.info,30,2021,10,1696
242,Christensen-Gibbs,Horneton,American Samoa,3,17,crawford.info,23,2022,5,1499
243,Mcguire PLC,Mitchelltown,Marshall Islands,134,11,cunningham.org,20,2021,1,1961
244,Morrow-Butler,Roberthaven,Anguilla,6,13,donovan-stokes.info,27,2021,12,1644
245,Lynch and Sons,New Paulmouth,Paraguay,169,14,solomon.net,31,2021,4,1868
246,"Hull, Brennan and Ramos",North Brookebury,Mozambique,147,23,shelton.com,29,2021,11,1666
247,"Phillips, Hutchinson and Walter",West Erika,Ethiopia,67,31,day.org,27,2020,3,2265
248,"Morales, Carpenter and Yoder",Hodgeburgh,American Samoa,3,28,davidson.org,20,2020,5,2225
249,"Duran, Eaton and Holt",Daltonstad,Gambia,77,21,douglas-landry.com,29,2021,5,1866
250,"Carey, Owens and Anthony",East Michelleland,Swaziland,208,24,brewer.info,20,2021,2,1955
251,"Mcintyre, Yang and Dyer",Gileshaven,Marshall Islands,134,23,ramos.com,29,2020,12,2010
252,"Young, Reynolds and West",Robertaville,Turkey,222,24,johnston.com,28,2021,3,1908
253,"Dodson, Wagner and Roth",Dylanshire,Jordan,110,23,berry.com,30,2020,9,2086
254,Cannon Inc,Weissshire,Brunei Darussalam,32,10,cooley.com,28,2022,2,1564
255,Proctor-Garrett,Kennedyville,Ireland,103,15,mccoy.net,24,2021,2,1934
256,Curtis-Jarvis,East Brendanfort,Congo,49,13,garner-cooper.com,28,2020,7,2168
257,Kent LLC,Torresbury,Holy See (Vatican City State),94,8,duffy.biz,28,2020,9,2084
258,"Diaz, Hinton and Blackburn",Lake Kimhaven,Barbados,18,26,reilly.com,30,2020,11,2042
259,Novak-Mullins,Port Virginia,Georgia,78,13,robinson.com,26,2020,11,2023
260,"Riley, Phelps and Castro",Gabrielleland,Saudi Arabia,191,24,booth.biz,30,2021,8,1763
261,Obrien LLC,East Alyssaville,Japan,108,10,vargas.com,26,2020,6,2181
262,"Gutierrez, Logan and Porter",Burkeport,Oman,163,27,oneal-hutchinson.com,28,2021,4,1872
263,Pittman-Owens,South Jonathonborough,Bulgaria,33,13,navarro-howe.info,20,2021,1,1982
264,"Mckenzie, Bowman and Cooper",Port Melanieside,Myanmar,148,27,rasmussen.com,27,2021,6,1808
265,Aguilar-Bautista,New Oscar,Liberia,121,16,silva-choi.com,23,2021,7,1782
266,Ali LLC,Julianfort,Malta,133,7,fowler-durham.org,24,2021,3,1918
267,Carney-Chavez,North Alexanderburgh,Cape Verde,39,13,irwin-mcknight.info,26,2021,8,1774
268,Gallagher PLC,Lyonsshire,Oman,163,13,forbes.com,24,2020,3,2281
269,"Shaffer, Chang and Mcmahon",Port Graceport,Slovakia (Slovak Republic),197,26,murphy-fleming.com,20,2020,10,2066
270,Cooper-Richards,East Jonathanborough,Fiji,70,15,ferrell.info,24,2021,8,1768
271,Hart-Stevens,Dixonshire,Luxembourg,125,12,walter-richard.info,28,2020,7,2161
272,Swanson-Glenn,Warrenhaven,Namibia,149,13,gallagher-briggs.biz,20,2021,11,1670
273,Franco-Berg,West Gregory,Mozambique,147,11,neal-kline.com,26,2022,5,1473
274,Vargas-Garrett,Beltranland,Ireland,103,14,key.com,20,2021,1,1978
275,Blanchard Group,Farleyburgh,Monaco,142,15,brooks.org,23,2021,3,1900
276,"Fitzgerald, Gamble and Gill",Pacestad,Botswana,27,27,duke.com,23,2021,3,1925
277,Sutton-Johnson,Claireton,Brunei Darussalam,32,14,harvey.com,23,2021,7,1779
278,Mack-Barnett,Benitezville,Gibraltar,81,12,hart.com,26,2020,11,2025
279,Joseph-Lyons,East Alishaport,China,44,12,woodward.com,27,2021,10,1690
280,Wagner-Ayala,North Mindyview,Cook Islands,50,12,bernard-knapp.com,24,2020,6,2180
281,Parrish-Simmons,South Sheila,Saint Helena,182,15,craig.com,28,2022,3,1540
282,Cruz Inc,Port Phyllisfort,New Caledonia,154,8,proctor-gamble.biz,34,2020,5,2205
283,Beard LLC,West Gabriel,Maldives,131,9,hardy.biz,29,2022,3,1537
284,"Hancock, Donaldson and Stout",Port Penny,Chile,43,28,stanton-salazar.com,25,2020,9,2090
285,"Villanueva, Li and Hurley",South Robynton,Brazil,29,25,diaz.com,27,2021,4,1885
286,Michael-Sparks,West Greg,Malta,133,14,solis.net,27,2020,6,2174
287,Ritter-Kelley,Jefferyton,Malta,133,13,hurley.info,32,2020,8,2125
288,"Olsen, Barrera and Robles",West Gene,Saint Pierre and Miquelon,186,25,peterson-jimenez.com,23,2021,9,1741
289,Vaughan-Wyatt,South Clayton,French Polynesia,74,13,cummings.com,28,2021,4,1896
290,Joyce Inc,Rubenstad,New Zealand,155,9,lester-martinez.com,29,2022,3,1557
291,Reed and Sons,North Leroymouth,Nauru,150,13,english.com,28,2020,7,2161
