property_id,city,bedrooms,bathrooms,sqft,lot_size,year_built,condition,price
PR095,Phoenix,2,1,1095,2750,1988,Fair,295000
PR096,New York,3,2,1900,4800,2002,Good,960000
PR097,Los Angeles,3,2,1800,4700,1998,Good,900000
PR098,Chicago,2,2,1250,3100,1991,Fair,320000
PR099,Houston,3,2,1585,4025,2012,Good,465000
PR100,Phoenix,4,2,2105,5250,2013,Good,515000
PR101,New York,2,1,1220,3250,1981,Fair,630000
PR102,Los Angeles,4,3,2420,6250,2006,Good,1180000
PR103,Chicago,3,1,1450,3700,1986,Fair,350000
PR104,Houston,4,2,2200,5600,2009,Good,580000
PR105,Phoenix,3,2,1495,3880,2004,Good,425000
PR106,New York,3,3,2300,6100,2016,Excellent,1450000
PR107,Los Angeles,2,2,1550,4050,1995,Good,800000
PR108,Chicago,4,3,2350,5950,2017,Excellent,675000
PR109,Houston,3,2,1655,4150,2014,Good,485000
PR110,Phoenix,4,3,2250,5450,2014,Excellent,580000
PR111,New York,5,4,3155,8250,2020,Excellent,2250000
PR112,Los Angeles,4,2,2480,6400,2010,Good,1210000
PR113,Chicago,2,1,1160,2950,1981,Fair,345000
PR114,Houston,3,2,1605,4050,2015,Good,475000
PR115,Phoenix,3,2,1510,3900,2012,Good,440000
PR116,New York,4,3,2860,7480,2011,Excellent,1595000
PR117,Los Angeles,3,2,1920,4900,2003,Good,990000
PR118,Chicago,5,3,2550,6400,2018,Excellent,740000
PR119,Houston,4,3,2380,6000,2019,Excellent,660000
PR120,Phoenix,2,2,1320,3350,1993,Fair,315000
PR121,New York,3,2,1820,4650,1994,Good,880000
PR122,Los Angeles,4,3,2375,6150,2005,Excellent,1235000
PR123,Chicago,2,1,1175,3005,1979,Fair,360000
PR124,Houston,3,2,1625,4120,2016,Good,460000
PR125,Phoenix,4,2,2020,5100,2002,Good,495000
PR126,New York,2,2,1485,3600,1984,Fair,670000
PR127,Los Angeles,5,4,3250,8100,2015,Excellent,1850000
PR128,Chicago,3,2,1690,4280,1997,Good,395000
PR129,Houston,4,3,2210,5520,2011,Excellent,560000
PR130,Phoenix,3,2,1415,3520,1998,Good,405000
PR131,New York,4,3,2810,7100,2007,Excellent,1510000
PR132,Los Angeles,3,2,1885,4820,2001,Good,960000
PR133,Chicago,2,1,1110,2820,1976,Fair,292000
PR134,Houston,3,2,1535,3875,2007,Good,448000
PR135,Phoenix,4,3,2135,5320,2017,Excellent,545000
PR136,New York,3,2,1980,5050,1996,Good,925000
PR137,Los Angeles,4,3,2630,6550,2014,Excellent,1395000
PR138,Chicago,3,1,1395,3520,1985,Fair,335000
PR139,Houston,3,2,1710,4255,2018,Good,485500
PR140,Phoenix,3,2,1460,3820,2006,Good,418000
PR141,New York,4,2,2550,6750,2004,Good,1085000
PR142,Los Angeles,3,2,1975,5050,2002,Good,970000
PR143,Chicago,3,2,1625,4150,1995,Good,425000
PR144,Houston,4,3,2280,5750,2013,Excellent,615000
PR145,Phoenix,2,1,1075,2650,1987,Fair,275000
PR146,New York,2,1,1210,3220,1982,Fair,625000
PR147,Los Angeles,5,3,3050,7600,2012,Excellent,1725000
PR148,Chicago,4,2,2085,5405,2002,Good,510000
PR149,Houston,3,1,1320,3420,1999,Fair,360000
PR150,Phoenix,3,2,1565,3980,2008,Good,438000
PR151,New York,3,3,2265,6020,2013,Excellent,1425000
PR152,Los Angeles,2,2,1520,4050,1997,Good,780000
PR153,Chicago,2,1,1140,2860,1983,Fair,298000
PR154,Houston,4,2,2165,5580,2010,Good,565000
PR155,Phoenix,4,3,2215,5420,2016,Excellent,605000
PR156,New York,5,4,3120,8200,2018,Excellent,2125000
PR157,Los Angeles,4,2,2440,6320,2009,Good,1160000
PR158,Chicago,3,2,1660,4230,2000,Good,455000
PR159,Houston,2,2,1410,3620,2001,Good,425000
PR160,Phoenix,3,1,1360,3470,1990,Fair,310500
PR161,New York,4,3,2890,7485,2006,Excellent,1575000
PR162,Los Angeles,3,2,1865,4870,2002,Good,960500
PR163,Chicago,4,3,2285,5800,2010,Excellent,620000
PR164,Houston,3,2,1610,4105,2013,Good,472000
PR165,Phoenix,2,2,1310,3320,1991,Fair,312000
PR166,New York,3,2,1795,4605,1997,Good,915000
PR167,Los Angeles,5,4,3310,8450,2017,Excellent,1970000
PR168,Chicago,2,1,1195,3020,1984,Fair,358000
PR169,Houston,4,3,2415,6030,2018,Excellent,650000
PR170,Phoenix,4,2,2090,5220,2011,Good,505000
PR171,New York,2,2,1515,3655,1986,Fair,675000
PR172,Los Angeles,3,1,1710,4340,1999,Good,860000
PR173,Chicago,3,2,1730,4410,2005,Good,468000
PR174,Houston,3,2,1560,3920,2006,Good,450500
PR175,Phoenix,3,2,1490,3875,2003,Good,418500
PR176,New York,4,3,2910,7520,2015,Excellent,1665000
PR177,Los Angeles,2,2,1460,3980,1992,Fair,765000
PR178,Chicago,5,3,2620,6520,2015,Excellent,730000
PR179,Houston,4,2,2260,5855,2008,Good,572000
PR180,Phoenix,2,1,1090,2710,1985,Fair,286000
PR181,New York,3,2,1865,4705,2000,Good,935000
PR182,Los Angeles,4,3,2520,6500,2012,Excellent,1410000
PR183,Chicago,2,1,1145,2905,1977,Fair,308000
PR184,Houston,3,2,1695,4280,2017,Good,498000
PR185,Phoenix,4,3,2160,5380,2020,Excellent,625000
PR186,New York,5,4,3210,8350,2019,Excellent,2210000
PR187,Los Angeles,3,2,2060,5180,2008,Good,1030000
PR188,Chicago,4,2,2010,5120,1996,Good,482000
PR189,Houston,2,2,1395,3610,1994,Fair,372000
PR190,Phoenix,3,2,1540,3935,2009,Good,440500
PR191,New York,4,3,2760,7220,2005,Excellent,1610000
PR192,Los Angeles,5,4,3360,8620,2018,Excellent,2010000
PR193,Chicago,3,2,1710,4360,2007,Good,462000
PR194,Houston,4,3,2365,5910,2011,Excellent,618000
PR195,Phoenix,2,1,1105,2760,1988,Fair,296000
PR196,New York,3,2,1910,4820,2002,Good,965000
PR197,Los Angeles,3,2,1810,4710,1998,Good,905000
PR198,Chicago,2,2,1260,3120,1991,Fair,322000
PR199,Houston,3,2,1590,4035,2012,Good,468000
PR200,Phoenix,4,2,2110,5260,2013,Good,518000
